ROTATION,S_SPP,R_TRAD,R_PHENOL,R_ACTIV,R_FUN,S_FUN
CCaWwS,4,4,3,2.25,4,4
CCSSw,2.67,3,2,1.83,3,2.67
COWwS,4,3,3,2.25,3,2.67
CPWwS,4,3,3,2.25,4,4
CS,2,2,1,1,2,2
CSSwP,4,2,2,1.67,2,4
CSSwS,2.67,2,2,1.83,3,2.67
